NAMESPACE            NAME                                                    READY   STATUS      RESTARTS        AGE     IP               NODE        NOMINATED NODE   READINESS GATES
chaos-mesh           chaos-controller-manager-7f78fb54b9-h62zg               1/1     Running     2 (23h ago)     8d      10.244.3.26      talos-w3    <none>           <none>
chaos-mesh           chaos-daemon-bjszr                                      1/1     Running     0               23h     10.244.0.145     talos-w1    <none>           <none>
chaos-mesh           chaos-daemon-d2779                                      1/1     Running     0               23h     10.244.1.58      talos-w2    <none>           <none>
chaos-mesh           chaos-daemon-jt9x7                                      1/1     Running     0               23h     10.244.3.87      talos-w3    <none>           <none>
chaos-mesh           chaos-dashboard-b56775cc-ll2vb                          1/1     Running     0               23h     10.244.0.205     talos-w1    <none>           <none>
chaos-mesh           chaos-dashboard-b56775cc-xp49j                          0/1     Completed   1 (2d10h ago)   8d      <none>           talos-w2    <none>           <none>
chaos-mesh           chaos-dns-server-7cdff5d7b9-57srv                       1/1     Running     0               23h     10.244.0.171     talos-w1    <none>           <none>
chaos-mesh           chaos-dns-server-7cdff5d7b9-gxff8                       0/1     Completed   0               23h     <none>           talos-w3    <none>           <none>
cnpg-system          cnpg-controller-manager-6f488cd599-4xrvm                0/1     Completed   5 (2d10h ago)   20d     <none>           talos-w3    <none>           <none>
cnpg-system          cnpg-controller-manager-6f488cd599-lfjfv                1/1     Running     0               23h     10.244.0.9       talos-w1    <none>           <none>
kube-system          cilium-49b4f                                            1/1     Running     0               23h     192.168.122.12   talos-w2    <none>           <none>
kube-system          cilium-envoy-8t4hb                                      1/1     Running     0               23h     192.168.122.11   talos-w1    <none>           <none>
kube-system          cilium-envoy-c95jg                                      1/1     Running     2 (2d10h ago)   20d     192.168.122.10   talos-cp1   <none>           <none>
kube-system          cilium-envoy-j4r7m                                      1/1     Running     0               23h     192.168.122.12   talos-w2    <none>           <none>
kube-system          cilium-envoy-pc5k8                                      1/1     Running     0               23h     192.168.122.13   talos-w3    <none>           <none>
kube-system          cilium-k7zd2                                            1/1     Running     2 (2d10h ago)   20d     192.168.122.10   talos-cp1   <none>           <none>
kube-system          cilium-n8wfl                                            1/1     Running     0               23h     192.168.122.13   talos-w3    <none>           <none>
